device_id,status,Timestamp
1,1,2023-07-17 16:21:48.394686
2,1,2023-07-17 16:21:48.458313
3,0,2023-07-17 16:21:56.466039
4,1,2023-07-17 16:21:58.521302
5,1,2023-07-17 16:21:58.904907
6,0,2023-07-17 16:21:58.905262
7,0,2023-07-17 16:22:06.914073
8,1,2023-07-17 16:22:06.995876
1,1,2023-07-17 16:27:16.822336
2,1,2023-07-17 16:27:16.964368
3,0,2023-07-17 16:27:25.120379
4,1,2023-07-17 16:27:27.359078
5,1,2023-07-17 16:27:27.819450
6,0,2023-07-17 16:27:27.834344
7,0,2023-07-17 16:27:36.128050
8,1,2023-07-17 16:27:36.362479
